,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
0,a,4.36,1,1,ART,1,1,1,False,6,-4.543025138092167,4.543025138092167
1,a,4.37,1,1,N,1,1,1,False,6,-4.543025138092167,4.543025138092167
2,a,2.67,0,1,,1,1,1,False,6,-4.543025138092167,4.543025138092167
3,A,4.37,0,1,,1,1,1,False,6,-4.543025138092167,4.543025138092167
4,AA,0.48,1,11,N,2,2,2,False,1,-4.726224485145988,4.726224485145988
5,AA,0.7,0,11,,2,2,2,False,1,-4.726224485145988,4.726224485145988
6,aback,0.48,2,@b{k,ADV,2,4,2,False,0,-4.881225533809513,4.881225533809513
7,abacus,0.0,0,{b@k@s,N,3,6,3,False,0,-7.0812374259527315,7.0812374259527315
8,abaft,0.0,1,@b#ft,ADV,2,5,2,False,1,-5.508809003318572,5.508809003318572
9,abaft,0.0,2,@b#ft,PREP,2,5,2,False,1,-5.508809003318572,5.508809003318572
10,abandon,0.3,1,@b{nd@n,N,3,7,3,False,1,-7.338566023094971,7.338566023094971
11,abandon,1.73,1,@b{nd@n,V,3,7,3,False,1,-7.338566023094971,7.338566023094971
12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,False,0,-8.973166313528006,8.973166313528006
13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,False,0,-9.749257432514092,9.749257432514092
14,abase,0.0,0,@b1s,V,2,4,2,False,0,-5.1421572064811825,5.1421572064811825
15,abasement,0.0,2,@b1sm@nt,N,3,8,3,False,0,-6.031537506736921,6.031537506736921
16,abash,0.0,0,@b{S,V,2,4,2,False,0,-5.1747922614765125,5.1747922614765125
17,abate,0.3,0,@b1t,V,2,4,2,False,0,-4.4843159294371375,4.4843159294371375
18,abatement,0.0,2,@b1tm@nt,N,3,8,3,False,0,-6.093422953966762,6.093422953966762
19,abattoir,0.3,0,{b@tw#R,N,3,7,3,False,0,-6.484586411707568,6.484586411707568
20,abbe,0.0,1,{b1,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025
21,abbess,0.48,0,{bEs,N,2,4,2,False,0,-5.323238764760437,5.323238764760437
22,abbey,1.0,1,{bI,N,2,3,2,False,0,-5.357923796589847,5.357923796589847
23,abbot,0.3,1,{b@t,N,2,4,2,False,0,-5.241596936309432,5.241596936309432
24,abbreviate,0.3,0,@brivI1t,V,4,8,4,False,0,-6.969891795994088,6.969891795994088
25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,False,0,-6.841973121104419,6.841973121104419
26,ABC,0.3,1,1bisi,N,3,5,3,False,0,-6.162612019532494,6.162612019532494
27,abdicate,0.3,0,{bdIk1t,V,3,7,3,False,0,-6.248048855243138,6.248048855243138
28,abdication,0.3,2,{bdIk1SH,N,4,8,3,False,0,-5.926284332916057,5.926284332916057
29,abdomen,0.78,0,{bd@mEn,N,3,7,3,False,0,-7.498076224206812,7.498076224206812
30,abdominal,0.85,2,{bdQmInP,A,4,8,3,False,0,-6.6061918208976484,6.6061918208976484
31,abduct,0.0,0,@bdVkt,V,2,6,2,False,0,-5.966697030555414,5.966697030555414
32,abduction,0.0,2,{bdVkSH,N,3,7,2,False,0,-5.718141968914812,5.718141968914812
33,abeam,0.0,2,@bim,ADV,2,4,2,False,0,-4.999248880529504,4.999248880529504
34,abed,0.0,2,@bEd,A,2,4,2,False,0,-5.068196647693624,5.068196647693624
35,aberrant,0.0,2,{bEr@nt,A,3,7,3,False,0,-6.904616956782723,6.904616956782723
36,aberration,0.48,0,{b@r1SH,N,4,7,3,False,0,-5.201686630136223,5.201686630136223
37,abet,0.3,1,@bEt,V,2,4,2,False,0,-4.942811532367611,4.942811532367611
38,abettor,0.0,2,@bEt@R,N,3,6,3,False,0,-5.554002495565035,5.554002495565035
39,abeyance,0.0,2,@b1@ns,N,3,6,3,False,0,-5.443102618806394,5.443102618806394
40,abeyant,0.0,0,@b1@nt,A,3,6,3,False,0,-6.03650513220329,6.03650513220329
41,abhor,0.3,0,@bh$R,V,2,5,2,False,0,-4.898123138636846,4.898123138636846
42,abhorrence,0.0,2,@bhQr@ns,N,3,8,3,False,0,-6.41406332605971,6.41406332605971
43,abhorrent,0.0,2,@bhQr@nt,A,3,8,3,False,0,-6.1543622838656455,6.1543622838656455
45,abide,0.7,0,@b2d,V,2,4,2,False,0,-4.862777746884987,4.862777746884987
47,abiding,0.3,1,@b2dIN,A,3,6,3,False,0,-5.91024310220891,5.91024310220891
48,abilities,0.0,1,@bIl@tIz,N,4,8,4,False,0,-6.496754659752271,6.496754659752271
49,ability,1.94,2,@bIl@tI,N,4,7,4,False,0,-4.458553348418213,4.458553348418213
51,abject,0.48,0,{b_Ekt,A,2,6,2,False,0,-4.955095570156967,4.955095570156967
52,abjection,0.0,2,{b_EkSH,N,3,7,2,False,0,-4.915361452249807,4.915361452249807
53,abjectly,0.0,2,{b_EktlI,ADV,3,8,3,False,0,-6.082197079094002,6.082197079094002
54,abjuration,0.0,2,{b_9r1SH,N,4,8,3,False,0,-6.193568366030629,6.193568366030629
55,abjure,0.0,0,@b_9R,V,2,5,2,False,0,-5.24178462348576,5.24178462348576
56,ablative,0.0,1,{bl@tIv,N,3,7,3,False,1,-7.772835069796273,7.772835069796273
57,ablative,0.0,0,{bl@tIv,A,3,7,3,False,1,-7.772835069796273,7.772835069796273
58,ablaut,0.0,0,{bl6t,N,2,5,2,False,0,-5.924856286539608,5.924856286539608
59,ablaze,0.0,2,@bl1z,A,2,5,2,False,1,-6.920798759898806,6.920798759898806
60,ablaze,0.0,1,@bl1z,ADV,2,5,2,False,1,-6.920798759898806,6.920798759898806
61,able,2.52,1,1bP,A,2,3,1,False,0,-4.8227215268324475,4.8227215268324475
65,ablution,0.0,0,@bluSH,N,3,6,2,False,0,-6.694721415748989,6.694721415748989
66,ablutions,0.0,1,@bluSHz,N,3,7,2,False,0,-8.215761267595376,8.215761267595376
67,ably,0.6,2,1blI,ADV,2,4,2,False,0,-4.779194581739028,4.779194581739028
68,abnegate,0.0,2,{bnIg1t,V,3,7,3,False,0,-5.967881429136156,5.967881429136156
69,abnegation,0.0,2,{bnIg1SH,N,4,8,3,False,0,-5.945365682952313,5.945365682952313
70,abnormal,0.78,2,{bn$mP,A,3,6,2,False,0,-4.907424046968392,4.907424046968392
71,abnormality,0.3,2,{bn$m{l@tI,N,5,10,5,False,0,-6.566489557361515,6.566489557361515
72,abnormally,0.3,2,{bn$m@lI,ADV,4,8,4,False,0,-5.714890389015631,5.714890389015631
73,abo,0.0,1,{b5,N,2,3,2,False,0,-4.335946935600767,4.335946935600767
74,aboard,0.85,2,@b$d,ADV,2,4,2,False,1,-4.168024832163394,4.168024832163394
75,aboard,0.95,1,@b$d,PREP,2,4,2,False,1,-4.168024832163394,4.168024832163394
76,abode,0.3,0,@b5d,N,2,4,2,False,0,-5.752910590769187,5.752910590769187
77,abolish,1.23,0,@bQlIS,V,3,6,3,False,0,-6.362359677284877,6.362359677284877
78,abolition,0.9,2,{b5lISH,N,4,7,3,False,0,-7.778348643125709,7.778348643125709
79,abolitionist,0.0,2,{b5lIS@nIst,N,5,11,5,False,0,-10.892706472570529,10.892706472570529
81,abominable,0.3,0,@bQmIn@bP,A,5,9,4,False,0,-7.573890049868275,7.573890049868275
83,abominably,0.0,2,@bQmIn@blI,ADV,5,10,5,False,0,-8.187469064126859,8.187469064126859
84,abominate,0.0,0,@bQmIn1t,V,4,8,4,False,0,-6.768619213354476,6.768619213354476
85,abomination,0.0,2,@bQmIn1SH,N,5,9,4,False,0,-6.601412486538339,6.601412486538339
86,aboriginal,0.0,1,{b@rI_@nP,N,5,9,4,False,1,-8.835786578339937,8.835786578339937
87,aboriginal,0.78,2,{b@rI_@nP,A,5,9,4,False,1,-8.835786578339937,8.835786578339937
88,aborigine,0.0,1,{b@rI_@nI,N,5,9,5,False,0,-9.254342769627247,9.254342769627247
89,Aborigine,0.6,1,{b@rI_InI,N,5,9,5,False,0,-9.963257264111615,9.963257264111615
