,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal,rank_num_homophones
26981,39837,sailor,1.08,2,s1l@R,N,2,5,2,False,0,-4.463453469656544,4.463453469656544,28393.0
26982,39839,sailplane,0.0,2,s1lpl1n,N,2,7,2,False,0,-6.764171064447453,6.764171064447453,28394.0
26983,39841,saint,1.26,1,s1nt,N,1,4,1,False,1,-4.416129990183533,4.416129990183533,4299.0
26984,39843,sainted,0.0,2,s1ntId,A,2,6,2,False,0,-5.715179270658975,5.715179270658975,28395.0
26985,39844,sainthood,0.0,2,s1nthUd,N,2,7,2,False,0,-5.922228312144695,5.922228312144695,28396.0
26986,39845,saintlike,0.0,2,s1ntl2k,A,2,7,2,False,0,-7.832696090482306,7.832696090482306,28397.0
26987,39846,saintliness,0.0,2,s1ntlInIs,N,3,9,3,False,0,-6.819323448249803,6.819323448249803,28398.0
26988,39847,saintly,0.0,2,s1ntlI,A,2,6,2,False,0,-4.827582031533508,4.827582031533508,28399.0
26989,39849,sake,1.71,1,s1k,N,1,3,1,False,0,-4.228786923746239,4.228786923746239,28400.0
26990,39850,sake,0.0,0,s#kI,N,2,4,2,False,1,-5.263505015117615,5.263505015117615,4300.0
26991,39851,salaam,0.0,0,s@l#m,N,2,5,2,False,1,-5.785450238175789,5.785450238175789,4301.0
26992,39853,salable,0.0,2,s1l@bP,A,3,6,2,False,0,-5.1953795896766675,5.1953795896766675,28401.0
26993,39854,salacious,0.0,0,s@l1S@s,A,3,7,3,False,0,-6.064644404831864,6.064644404831864,28402.0
26994,39855,salaciously,0.0,2,s@l1S@slI,ADV,4,9,4,False,0,-6.199026675172779,6.199026675172779,28403.0
26995,39856,salaciousness,0.0,2,s@l1S@snIs,N,4,10,4,False,0,-6.427700821291312,6.427700821291312,28404.0
26996,39857,salacity,0.0,2,s@l{s@tI,N,4,8,4,False,0,-7.830060292984862,7.830060292984862,28405.0
26997,39858,salad,1.3,1,s{l@d,N,2,5,2,False,0,-5.771162687708072,5.771162687708072,28406.0
26998,39862,salamander,0.0,0,s{l@m{nd@R,N,4,10,4,False,0,-9.326238703179174,9.326238703179174,28407.0
26999,39863,salami,0.0,0,s@l#mI,N,3,6,3,False,0,-6.2150634210535145,6.2150634210535145,28408.0
27000,39864,salaried,0.3,2,s{l@rId,A,3,7,3,False,0,-8.555109710067589,8.555109710067589,28409.0
27001,39865,salary,1.45,0,s{l@rI,N,3,6,3,False,0,-5.901789461586676,5.901789461586676,28410.0
27002,39868,saleroom,0.0,2,s1lrUm,N,2,6,2,False,0,-5.269212004410082,5.269212004410082,28411.0
27003,39869,sales,1.04,1,s1lz,A,1,4,1,False,0,-4.340060863298821,4.340060863298821,28412.0
27004,39870,salesclerk,0.0,2,s1lzkl#k,N,2,8,2,False,0,-6.4804607749970415,6.4804607749970415,28413.0
27005,39871,salesgirl,0.0,2,s1lzg3l,N,2,7,2,False,0,-5.5911832026264685,5.5911832026264685,28414.0
27006,39872,saleslady,0.0,2,s1lzl1dI,N,3,8,3,False,0,-6.425212747129779,6.425212747129779,28415.0
27007,39873,salesman,1.04,3,s1lzm@n,N,2,7,2,False,0,-5.2065892740066975,5.2065892740066975,28416.0
27008,39874,salesmanship,0.0,2,s1lzm@nSIp,N,3,10,3,False,0,-6.68522400279769,6.68522400279769,28417.0
27009,39876,salesroom,0.0,2,s1lzrUm,N,2,7,2,False,0,-5.294290207999595,5.294290207999595,28418.0
27010,39880,saleswoman,0.0,3,s1lzwUm@n,N,3,9,3,False,0,-5.79819828506657,5.79819828506657,28419.0
27011,39881,salient,0.0,1,s1lj@nt,N,2,7,2,False,1,-5.9252056040392596,5.9252056040392596,4302.0
27012,39883,saliferous,0.0,0,s@lIf@r@s,A,4,9,4,False,0,-8.765855635749089,8.765855635749089,28420.0
27013,39884,salify,0.0,0,s{lIf2,V,3,6,3,False,0,-6.017550718538914,6.017550718538914,28421.0
27014,39885,saline,0.0,2,s1l2n,A,2,5,2,False,1,-5.367631830309343,5.367631830309343,4303.0
27015,39887,salinity,0.0,2,s@lIn@tI,N,4,8,4,False,0,-7.965432382900462,7.965432382900462,28422.0
27016,39888,salinometer,0.0,3,s{lInQmIt@R,N,5,11,5,False,0,-9.403774073744742,9.403774073744742,28423.0
27017,39889,saliva,0.48,1,s@l2v@,N,3,6,3,False,0,-8.320120029239442,8.320120029239442,28424.0
27018,39890,salivary,0.0,2,s{lIv@rI,A,4,8,4,False,0,-6.778384359302082,6.778384359302082,28425.0
27019,39891,salivate,0.0,2,s{lIv1t,V,3,7,3,False,0,-6.555872150920054,6.555872150920054,28426.0
27020,39892,salivation,0.0,2,s{lIv1SH,N,4,8,3,False,0,-6.554356549062199,6.554356549062199,28427.0
27021,39893,sallow,0.0,1,s{l5,V,2,4,2,False,2,-4.744417420648392,4.744417420648392,740.0
27022,39896,sallowness,0.0,2,s{l5nIs,N,3,7,3,False,0,-6.321014202016132,6.321014202016132,28428.0
27023,39897,sally,0.0,0,s{lI,N,2,4,2,False,1,-4.680970566399864,4.680970566399864,4304.0
27024,39902,salmon,1.08,1,s{m@n,N,2,5,2,False,0,-5.840201371248006,5.840201371248006,28429.0
27025,39903,salmonella,0.0,0,s{lm@nEl@,N,4,9,4,False,0,-10.449984443736657,10.449984443736657,28430.0
27026,39905,salon,0.7,1,s{l~n,N,2,5,2,False,0,-4.992609130865525,4.992609130865525,28431.0
27027,39906,saloon,1.08,1,s@lun,N,2,5,2,False,0,-5.411134584863532,5.411134584863532,28432.0
27028,39908,salsify,0.0,0,s{lsIf2,N,3,7,3,False,0,-6.309984231698429,6.309984231698429,28433.0
27029,39909,salt,1.57,1,s$lt,N,1,4,1,False,2,-4.125226883941156,4.125226883941156,741.0
27030,39913,saltcellar,0.0,2,s$ltsEl@R,N,3,9,3,False,0,-7.3739220335205165,7.3739220335205165,28434.0
27031,39914,saltiness,0.0,2,s$ltInIs,N,3,8,3,False,0,-6.555823270355611,6.555823270355611,28435.0
27032,39915,saltire,0.0,1,s$lt2@R,N,3,7,3,False,0,-6.237253789005908,6.237253789005908,28436.0
