,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
179,abfliegen,2,&pflig@n,3,8,3,False,0,-5.733235853587727,5.733235853587727
180,abfliessen,2,&pflis@n,3,8,3,False,0,-5.9501167214308905,5.9501167214308905
181,Abflug,1,&pfluk,2,6,2,False,0,-5.237303321818773,5.237303321818773
182,Abfluss,1,&pflUs,2,6,2,False,0,-5.57271329218605,5.57271329218605
183,Abflusshahn,2,&pflUshan,3,9,3,False,0,-9.298617955206536,9.298617955206536
184,Abfolge,2,&pfOlg@,3,7,3,False,0,-6.024446047273257,6.024446047273257
185,abfotografieren,2,&pfotogr&fir@n,6,14,6,False,1,-8.248685969681302,8.248685969681302
186,abfragen,2,&pfrag@n,3,8,3,False,0,-6.01893151262336,6.01893151262336
187,abfressen,2,&pfrEs@n,3,8,3,False,0,-6.370213365621805,6.370213365621805
188,abfretten,2,&pfrEt@n,3,8,3,False,0,-7.873925308842159,7.873925308842159
189,abfrieren,2,&pfrir@n,3,8,3,False,0,-6.3207643077735565,6.3207643077735565
190,abfrottieren,2,&pfrOtir@n,4,10,4,False,0,-7.641860994285885,7.641860994285885
191,abfuehlen,2,&pfyl@n,3,7,3,False,0,-6.232376778669725,6.232376778669725
192,abfuehren,2,&pfyr@n,3,7,3,False,0,-4.966216032177514,4.966216032177514
193,Abfuhr,1,&pfur,2,5,2,False,0,-5.06258438326713,5.06258438326713
194,Abfuehrmittel,2,&pfyrmIt@l,4,10,4,False,0,-8.415520630904204,8.415520630904204
195,Abfuehrung,2,&pfyrUN,3,7,3,False,0,-5.0738070633661385,5.0738070633661385
196,abfuellen,2,&pfYl@n,3,7,3,False,0,-5.553531540410676,5.553531540410676
197,abfuettern,2,&pfYt@rn,3,8,3,False,0,-5.887187916450971,5.887187916450971
198,Abfuetterung,2,&pfYt@rUN,4,9,4,False,0,-6.50050439720392,6.50050439720392
199,Abgabe,1,&pgab@,3,6,3,False,0,-4.8251330865402835,4.8251330865402835
200,abgabenfrei,3,&pgab@nfrW,4,10,4,False,0,-8.009278625821267,8.009278625821267
201,abgabenpflichtig,4,&pgab@n8lIxtIx,5,14,5,False,0,-10.477319261295678,10.477319261295678
202,Abgabesoll,2,&pgab@zOl,4,9,4,False,0,-9.142708914169134,9.142708914169134
203,Abgang,1,&pg&N,2,5,2,False,0,-4.875755936964646,4.875755936964646
204,Abgaenger,2,&pgEN@r,3,7,3,False,0,-5.3426416598865805,5.3426416598865805
205,abgaengig,2,&pgENIx,3,7,3,False,0,-5.086591134527799,5.086591134527799
206,Abgangszeugnis,3,&pg&Ns=XknIs,4,12,4,False,0,-9.254382093451976,9.254382093451976
207,Abgas,2,&pgas,2,5,2,False,0,-4.571709864292362,4.571709864292362
208,abgasfrei,2,&pgasfrW,3,8,3,False,0,-6.971851358463299,6.971851358463299
209,abgeben,2,&pgeb@n,3,7,3,False,0,-5.323189521549639,5.323189521549639
210,abgeblasst,1,&pg@bl&st,3,9,3,False,0,-8.136235048766103,8.136235048766103
211,abgebrannt,1,&pg@br&nt,3,9,3,False,0,-7.042088244759982,7.042088244759982
212,abgebrueht,1,&pg@bryt,3,8,3,False,0,-7.653392592005337,7.653392592005337
213,abgedroschen,1,&pg@drOS@n,4,10,4,False,0,-8.31729696962973,8.31729696962973
214,abgefeimt,1,&pg@fWmt,3,8,3,False,0,-6.902779207537334,6.902779207537334
215,Abgefeimtheit,2,&pg@fWmthWt,4,11,4,False,0,-7.210854422208373,7.210854422208373
216,abgegriffen,1,&pg@grIf@n,4,10,4,False,0,-7.74698033147008,7.74698033147008
217,abgehen,2,&pge@n,3,6,3,False,0,-4.433330381248411,4.433330381248411
218,abgehackt,1,&pg@h&kt,3,8,3,False,0,-9.241872166704,9.241872166704
219,abgekaempft,1,&pg@kEm8t,3,9,3,False,0,-7.153712429494248,7.153712429494248
220,abgekartet,1,&pg@k&rt@t,4,10,4,False,0,-9.123015474720734,9.123015474720734
221,abgeklaert,1,&pg@klErt,3,9,3,False,0,-9.068047676311728,9.068047676311728
222,Abgeklaertheit,2,&pg@klErthWt,4,12,4,False,0,-10.485319312180351,10.485319312180351
223,Abgeld,2,&pgElt,2,6,2,False,0,-4.899934399324303,4.899934399324303
224,abgelebt,1,&pg@lept,3,8,3,False,0,-7.372465822804241,7.372465822804241
225,abgeledert,1,&pg@led@rt,4,10,4,False,0,-9.371836503198397,9.371836503198397
226,abgelegen,1,&pg@leg@n,4,9,4,False,0,-6.5021157732250225,6.5021157732250225
227,abgeleiert,1,&pg@lW@rt,4,9,4,False,0,-8.852024420010759,8.852024420010759
228,abgelten,2,&pgElt@n,3,8,3,False,0,-6.055832243121161,6.055832243121161
229,Abgeltung,2,&pgEltUN,3,8,3,False,0,-6.429897809952315,6.429897809952315
230,abgemacht,1,&pg@m&xt,3,8,3,False,0,-7.357150204017956,7.357150204017956
231,abgemessen,1,&pg@mEs@n,4,9,4,False,0,-6.972389662378225,6.972389662378225
232,abgeneigt,1,&pg@nWkt,3,8,3,False,0,-8.53181416091323,8.53181416091323
233,abgenutzt,1,&pg@nU=t,3,8,3,False,0,-8.383976463083469,8.383976463083469
234,abgeordnet,1,&pg@Ordn@t,4,10,4,False,0,-6.653887270743205,6.653887270743205
235,Abgeordnete,1,&pg@Ordn@t@,5,11,5,False,0,-7.3259140543218075,7.3259140543218075
236,Abgeordnetenhaus,3,&pg@Ordn@t@nhBs,6,15,6,False,0,-11.153722462401385,11.153722462401385
237,abgerissen,1,&pg@rIs@n,4,9,4,False,0,-8.51297472153784,8.51297472153784
238,abgerundet,1,&pg@rUnd@t,4,10,4,False,0,-10.429581683767141,10.429581683767141
239,abgesagt,1,&pg@zakt,3,8,3,False,0,-7.032514352158118,7.032514352158118
240,Abgesandte,2,&pg@z&nt@,4,9,4,False,0,-8.271579687701076,8.271579687701076
241,Abgesang,2,&pg@z&N,3,7,3,False,0,-5.696109315365508,5.696109315365508
242,abgeschabt,1,&pg@Sapt,3,8,3,False,0,-7.009010574152985,7.009010574152985
243,abgeschieden,1,&pg@Sid@n,4,9,4,False,0,-7.182676375884479,7.182676375884479
244,Abgeschiedenheit,2,&pg@Sid@nhWt,5,12,5,False,0,-9.013194910598232,9.013194910598232
245,abgeschlagen,1,&pg@Slag@n,4,10,4,False,0,-6.70121671776707,6.70121671776707
246,abgeschlossen,1,&pg@SlOs@n,4,10,4,False,0,-6.438072404986262,6.438072404986262
247,abgeschmackt,1,&pg@Sm&kt,3,9,3,False,0,-7.427785241854227,7.427785241854227
248,Abgeschmacktheit,2,&pg@Sm&kthWt,4,12,4,False,0,-8.523810015466267,8.523810015466267
249,abgesehen,1,&pg@ze@n,4,8,4,False,0,-6.1343031624969075,6.1343031624969075
250,abgesondert,1,&pg@zOnd@rt,4,11,4,False,0,-8.783992008135325,8.783992008135325
251,abgespannt,1,&pg@Sp&nt,3,9,3,False,0,-6.987623079133901,6.987623079133901
252,abgespielt,1,&pg@Spilt,3,9,3,False,0,-7.632713511778836,7.632713511778836
253,abgestanden,1,&pg@St&nd@n,4,11,4,False,0,-7.589831838040186,7.589831838040186
